|Rank      |Itemset                                                                                   |Ws
-------------------------------------------------------------------------------------------------------------------
|1         |[58]                                                                                      |0.99967843
|2         |[52]                                                                                      |0.99658185
|3         |[52, 58]                                                                                  |0.9962603
|4         |[29]                                                                                      |0.99516994
|5         |[29, 58]                                                                                  |0.9948484
|6         |[40]                                                                                      |0.9921268
|7         |[40, 58]                                                                                  |0.99180526
|8         |[29, 52]                                                                                  |0.9917518
|9         |[29, 52, 58]                                                                              |0.9914302
|10        |[40, 52]                                                                                  |0.9887087
|11        |[40, 52, 58]                                                                              |0.9883871
|12        |[40, 29]                                                                                  |0.9872965
|13        |[40, 29, 58]                                                                              |0.98697495
|14        |[60]                                                                                      |0.9861144
|15        |[60, 58]                                                                                  |0.9857928
|16        |[40, 29, 52]                                                                              |0.9838784
|17        |[40, 29, 52, 58]                                                                          |0.9835568
|18        |[60, 52]                                                                                  |0.98269624
|19        |[60, 52, 58]                                                                              |0.98237467
|20        |[60, 29]                                                                                  |0.9818678
|21        |[60, 29, 58]                                                                              |0.9815462
|22        |[60, 40]                                                                                  |0.9785336
|23        |[60, 29, 52]                                                                              |0.97844964
|24        |[60, 40, 58]                                                                              |0.97821206
|25        |[60, 29, 52, 58]                                                                          |0.9781281
|26        |[60, 40, 52]                                                                              |0.9751155
|27        |[60, 40, 52, 58]                                                                          |0.9747939
|28        |[60, 40, 29]                                                                              |0.97428703
|29        |[60, 40, 29, 58]                                                                          |0.97396547
|30        |[60, 40, 29, 52]                                                                          |0.9708689
|31        |[60, 40, 29, 52, 58]                                                                      |0.9705473
|32        |[36]                                                                                      |0.9700173
|33        |[36, 58]                                                                                  |0.96969575
|34        |[36, 52]                                                                                  |0.96659917
|35        |[36, 52, 58]                                                                              |0.9662776
|36        |[36, 29]                                                                                  |0.965187
|37        |[36, 29, 58]                                                                              |0.96486545
|38        |[7]                                                                                       |0.9632653
|39        |[7, 58]                                                                                   |0.96294373
|40        |[36, 40]                                                                                  |0.96214396
|41        |[36, 40, 58]                                                                              |0.9618224
|42        |[36, 29, 52]                                                                              |0.96176887
|43        |[36, 29, 52, 58]                                                                          |0.9614473
|44        |[7, 29]                                                                                   |0.9610073
|45        |[7, 29, 58]                                                                               |0.96068573
|46        |[7, 52]                                                                                   |0.95984715
|47        |[7, 52, 58]                                                                               |0.9595256
|48        |[36, 40, 52]                                                                              |0.9587258
|49        |[36, 40, 52, 58]                                                                          |0.95840424
|50        |[7, 52, 29]                                                                               |0.95758915
