|Rank      |Itemset                                                                                   |Ws
-------------------------------------------------------------------------------------------------------------------
|1         |[58]                                                                                      |0.99967843
|2         |[52]                                                                                      |0.99658185
|3         |[52, 58]                                                                                  |0.99626034
|4         |[29]                                                                                      |0.99516994
|5         |[29, 58]                                                                                  |0.9948484
|6         |[40]                                                                                      |0.9921268
|7         |[40, 58]                                                                                  |0.9918055
|8         |[29, 52]                                                                                  |0.9917518
|9         |[29, 52, 58]                                                                              |0.9914303
|10        |[40, 52]                                                                                  |0.9887089
|11        |[40, 52, 58]                                                                              |0.98838735
|12        |[40, 29]                                                                                  |0.9872967
|13        |[40, 29, 58]                                                                              |0.9869752
|14        |[60]                                                                                      |0.9861144
|15        |[60, 58]                                                                                  |0.9857932
|16        |[40, 29, 52]                                                                              |0.9838786
|17        |[40, 29, 52, 58]                                                                          |0.98355705
|18        |[60, 52]                                                                                  |0.9826966
|19        |[60, 52, 58]                                                                              |0.9823751
|20        |[60, 29]                                                                                  |0.981868
|21        |[60, 29, 58]                                                                              |0.9815465
|22        |[60, 40]                                                                                  |0.978534
|23        |[60, 29, 52]                                                                              |0.97844994
|24        |[60, 40, 58]                                                                              |0.9782124
|25        |[60, 29, 52, 58]                                                                          |0.9781284
|26        |[60, 40, 52]                                                                              |0.97511584
|27        |[60, 40, 52, 58]                                                                          |0.9747943
|28        |[60, 40, 29]                                                                              |0.97428733
|29        |[60, 40, 29, 58]                                                                          |0.97396576
|30        |[60, 40, 29, 52]                                                                          |0.9708692
|31        |[60, 40, 29, 52, 58]                                                                      |0.9705476
|32        |[36]                                                                                      |0.9700173
|33        |[36, 58]                                                                                  |0.96969515
|34        |[36, 52]                                                                                  |0.9665986
|35        |[36, 52, 58]                                                                              |0.966277
|36        |[36, 29]                                                                                  |0.9651863
|37        |[36, 29, 58]                                                                              |0.96486473
|38        |[7]                                                                                       |0.9632653
|39        |[7, 58]                                                                                   |0.9629426
|40        |[36, 40]                                                                                  |0.96214336
|41        |[36, 40, 58]                                                                              |0.96182173
|42        |[36, 29, 52]                                                                              |0.96176815
|43        |[36, 29, 52, 58]                                                                          |0.9614466
|44        |[7, 29]                                                                                   |0.96100616
|45        |[7, 29, 58]                                                                               |0.96068466
|46        |[7, 52]                                                                                   |0.959846
|47        |[7, 52, 58]                                                                               |0.9595245
|48        |[36, 40, 52]                                                                              |0.95872515
|49        |[36, 40, 52, 58]                                                                          |0.9584036
|50        |[36, 40, 29]                                                                              |0.957313
