|Rank      |Itemset                                                                                   |Ws
-------------------------------------------------------------------------------------------------------------------
|1         |[58]                                                                                      |0.99967843
|2         |[52]                                                                                      |0.99658185
|3         |[52, 58]                                                                                  |0.99626034
|4         |[29]                                                                                      |0.99516994
|5         |[29, 58]                                                                                  |0.9948484
|6         |[40]                                                                                      |0.9921268
|7         |[40, 58]                                                                                  |0.99180526
|8         |[29, 52]                                                                                  |0.9917518
|9         |[29, 52, 58]                                                                              |0.9914303
|10        |[40, 52]                                                                                  |0.9887087
|11        |[40, 52, 58]                                                                              |0.98838717
|12        |[40, 29]                                                                                  |0.9872967
|13        |[40, 29, 58]                                                                              |0.9869752
|14        |[60]                                                                                      |0.9861144
|15        |[60, 58]                                                                                  |0.9857929
|16        |[40, 29, 52]                                                                              |0.9838786
|17        |[40, 29, 52, 58]                                                                          |0.98355705
|18        |[60, 52]                                                                                  |0.9826964
|19        |[60, 52, 58]                                                                              |0.98237485
|20        |[60, 29]                                                                                  |0.981868
|21        |[60, 29, 58]                                                                              |0.9815465
|22        |[60, 40]                                                                                  |0.97853374
|23        |[60, 29, 52]                                                                              |0.9784498
|24        |[60, 40, 58]                                                                              |0.97821224
|25        |[60, 29, 52, 58]                                                                          |0.9781283
|26        |[60, 40, 52]                                                                              |0.97511566
|27        |[60, 40, 52, 58]                                                                          |0.9747941
|28        |[60, 40, 29]                                                                              |0.97428733
|29        |[60, 40, 29, 58]                                                                          |0.97396576
|30        |[60, 40, 29, 52]                                                                          |0.9708692
|31        |[60, 40, 29, 52, 58]                                                                      |0.9705476
|32        |[36]                                                                                      |0.9700173
|33        |[36, 58]                                                                                  |0.96969575
|34        |[36, 52]                                                                                  |0.96659887
|35        |[36, 52, 58]                                                                              |0.9662774
|36        |[36, 29]                                                                                  |0.9651869
|37        |[36, 29, 58]                                                                              |0.9648654
|38        |[7]                                                                                       |0.9632653
|39        |[7, 58]                                                                                   |0.9629437
|40        |[36, 40]                                                                                  |0.9621435
|41        |[36, 40, 58]                                                                              |0.961822
|42        |[36, 29, 52]                                                                              |0.96176845
|43        |[36, 29, 52, 58]                                                                          |0.96144694
|44        |[7, 29]                                                                                   |0.9610071
|45        |[7, 29, 58]                                                                               |0.96068555
|46        |[7, 52]                                                                                   |0.95984685
|47        |[7, 52, 58]                                                                               |0.95952535
|48        |[36, 40, 52]                                                                              |0.9587253
|49        |[36, 40, 52, 58]                                                                          |0.9584037
|50        |[7, 52, 29]                                                                               |0.9575888
